Rank,University,Location,Overall Score,Overall Teaching Score,Research Score,Research Quality,Industry Income Score,International Outlook Score
332,University of Colorado Denver/Anschutz Medical Campus,United States,0.0,34.1,25.4,93.6,73.1,36.9
333,University of Connecticut,United States,0.0,41.1,31.5,76.0,68.6,65.0
334,University of Dundee,United Kingdom,0.0,26.2,32.2,84.6,79.9,92.2
335,University of Electronic Science and Technology of China,China,0.0,35.6,37.2,80.7,98.3,33.7
336,University of Hohenheim,Germany,0.0,35.6,36.6,79.9,73.9,61.7
337,University of Innsbruck,Austria,0.0,33.2,35.9,68.6,83.0,94.1
338,University of Kiel,Germany,0.0,31.9,33.9,82.4,63.5,62.8
339,University of Milan,Italy,0.0,35.4,32.8,86.9,70.8,46.7
340,University of Pavia,Italy,0.0,38.3,34.4,80.3,81.8,51.5
341,University of Rome II  Tor Vergata,Italy,0.0,40.0,36.4,72.1,85.5,67.8
342,University of Sharjah,United Arab Emirates,0.0,22.0,27.1,94.6,44.1,98.6
343,University of South Australia,Australia,0.0,22.4,36.0,80.6,96.2,84.0
344,University of Tartu,Estonia,0.0,35.0,32.4,85.4,64.3,61.4
345,University of the Witwatersrand,South Africa,0.0,32.8,42.8,71.0,89.3,75.4
346,University of Trento,Italy,0.0,33.7,35.1,78.9,70.7,61.7
347,University of Turku,Finland,0.0,31.7,35.6,82.6,65.6,53.0
348,University of Victoria,Canada,0.0,29.6,37.1,81.7,65.8,86.5
349,Western Sydney University,Australia,0.0,24.8,31.5,88.3,56.0,87.9
350,Xiamen University,China,0.0,40.4,33.5,83.3,87.1,37.1
351,Amirkabir University of Technology,Iran,0.0,35.3,33.0,76.3,90.6,45.5
352,Aston University,United Kingdom,0.0,20.4,26.5,86.7,64.2,96.2
353,Autonomous University of Madrid,Spain,0.0,40.1,31.1,75.2,66.4,60.7
354,Brunel University of London,United Kingdom,0.0,24.7,27.9,80.6,60.7,98.3
355,"City, University of London",United Kingdom,0.0,27.8,30.3,76.8,58.5,95.1
356,Daegu Gyeongbuk Institute of Science and Technology (DGIST),South Korea,0.0,48.0,38.5,66.4,88.3,29.9
357,Drexel University,United States,0.0,43.4,25.4,72.4,74.7,63.6
358,Dublin City University,Ireland,0.0,28.0,37.5,78.6,69.4,72.9
359,Edith Cowan University,Australia,0.0,20.9,26.5,87.5,70.9,88.4
360,Free University of Bozen-Bolzano,Italy,0.0,33.3,23.1,85.9,46.1,78.9
361,Hokkaido University,Japan,0.0,52.6,44.7,47.8,95.9,47.4
362,Illinois Institute of Technology,United States,0.0,41.8,26.7,70.8,92.2,74.0
363,IMT Atlantique,France,0.0,47.4,35.7,51.3,97.7,85.4
364,Institut Agro,France,0.0,47.7,35.6,60.7,70.7,63.8
365,Iran University of Science and Technology,Iran,0.0,33.5,36.3,78.8,84.2,27.8
366,Justus Liebig University Giessen,Germany,0.0,34.7,39.4,72.5,70.6,63.8
367,King Abdulaziz University,Saudi Arabia,0.0,29.2,23.8,89.6,63.8,72.9
368,Ko University,Turkey,0.0,32.0,41.3,70.1,89.6,58.4
369,Leibniz University Hannover,Germany,0.0,37.8,42.0,64.6,84.2,58.7
370,Middle East Technical University,Turkey,0.0,44.2,44.1,53.4,88.0,58.3
371,Montpellier University,France,0.0,38.4,34.7,72.3,68.5,68.8
372,Sabanc University,Turkey,0.0,31.0,38.4,72.6,97.2,67.2
373,University of Tsukuba,Japan,0.0,50.5,43.8,49.6,77.1,50.6
374,Zayed University,United Arab Emirates,0.0,27.8,26.5,85.9,53.4,74.3
375,Aix-Marseille University,France,0.0,43.5,27.5,66.7,63.8,76.6
376,Ajman University,United Arab Emirates,0.0,25.9,25.2,78.9,18.1,99.3
377,Al Ain University,United Arab Emirates,0.0,34.9,38.0,59.7,17.3,98.7
378,American University of the Middle East,Kuwait,0.0,36.2,25.0,69.5,25.3,85.6
379,Anna University,India,0.0,36.9,28.7,76.7,65.8,20.2
380,"Asia University, Taiwan",Taiwan,0.0,17.4,36.5,83.5,72.7,50.3
381,Auckland University of Technology,New Zealand,0.0,22.5,21.4,81.5,44.4,91.8
382,Australian Catholic University,Australia,0.0,16.7,25.4,97.1,25.0,86.1
383,Bangor University,United Kingdom,0.0,28.7,25.7,70.7,61.9,88.3
384,Beijing University of Chemical Technology,China,0.0,25.8,27.7,85.1,93.1,22.7
385,Bond University,Australia,0.0,27.7,21.7,85.5,24.7,80.5
386,Bournemouth University,United Kingdom,0.0,24.0,20.8,87.8,39.7,88.8
387,Brandeis University,United States,0.0,36.5,26.6,72.5,64.8,81.4
388,Charles Darwin University,Australia,0.0,22.7,30.3,76.2,44.8,80.6
389,Charles University,Czechia,0.0,37.0,33.0,64.5,61.4,65.5
390,Chongqing University,China,0.0,29.1,33.9,78.3,95.2,46.8
391,Chung-Ang University,South Korea,0.0,37.9,38.8,54.7,91.9,63.0
392,Claude Bernard University Lyon 1,France,0.0,39.8,26.9,63.3,71.1,63.6
393,Colorado School of Mines,United States,0.0,36.1,35.6,63.5,85.4,41.9
394,"Colorado State University, Fort Collins",United States,0.0,36.3,31.8,70.7,71.1,45.3
395,Dalian University of Technology,China,0.0,36.2,34.9,70.0,97.2,37.5
396,Federation University Australia,Australia,0.0,20.1,23.4,79.0,73.6,89.1
397,Florida International University,United States,0.0,32.1,32.1,74.3,64.5,49.9
398,George Mason University,United States,0.0,28.9,28.8,81.2,62.9,60.5
399,Gwangju Institute of Science and Technology (GIST),South Korea,0.0,48.2,39.4,51.7,99.7,45.9
400,Heriot-Watt University,United Kingdom,0.0,34.7,33.9,62.3,83.0,95.4
